identifier	system	gold	head_tail	correct	gold_sense_rank
d007.s002.t001	trick%1:04:01::	trick%1:04:05::	head	False	1
d013.s005.t006	promise%1:09:00::	promise%1:10:00::	head	False	1
d006.s010.t003	superior_court%1:14:00::	superior_court%1:14:00::	head	True	1
d004.s009.t007	way%1:07:01::	way%1:04:00::	tail	False	5
d003.s003.t008	predominance%1:07:00::	predominance%1:26:00::	head	False	1
d003.s002.t002	heading%1:15:00::	heading%1:15:00::	tail	True	2
d001.s006.t001	range%1:14:00::	range%1:07:00::	head	False	1
d009.s012.t002	economy%1:14:00::	economy%1:14:00::	head	True	1
d012.s015.t002	impact%1:19:00::	impact%1:19:00::	tail	True	2
d001.s020.t004	central_america%1:15:00::	central_america%1:14:00::	tail	False	2
d008.s012.t008	discovery%1:10:00::	discovery%1:04:00::	head	False	1
d005.s005.t006	manager%1:18:01::	manager%1:18:00::	head	False	1
d012.s021.t012	google%1:10:00::	google%1:10:00::	head	True	1
d010.s017.t004	company%1:14:01::	company%1:14:01::	head	True	1
d007.s006.t008	amount%1:21:00::	amount%1:21:00::	head	True	1
d003.s002.t006	united_states%1:15:00::	united_states%1:15:00::	head	True	1
d012.s002.t011	policy%1:10:00::	policy%1:10:00::	tail	True	2
d005.s003.t005	protection%1:26:00::	protection%1:21:00::	tail	False	3
d008.s023.t004	concentration%1:07:03::	concentration%1:07:02::	head	False	1
d004.s011.t003	bombing%1:04:01::	bombing%1:04:01::	tail	True	2
d013.s024.t004	loss%1:21:01::	loss%1:21:01::	head	True	1
d003.s006.t005	end%1:28:00::	end%1:28:00::	tail	True	2
d003.s013.t007	evening%1:28:00::	evening%1:28:00::	head	True	1
d002.s002.t012	group%1:03:00::	group%1:03:00::	head	True	1
d012.s006.t012	misery%1:26:00::	misery%1:26:00::	head	True	1
d007.s002.t002	wittiness%1:10:00::	wittiness%1:10:00::	head	True	1
d004.s011.t009	iraq%1:15:00::	iraq%1:15:00::	head	True	1
d011.s002.t003	game%1:04:00::	game%1:04:03::	tail	False	2
d005.s013.t004	support%1:04:03::	support%1:21:01::	tail	False	10
d002.s006.t002	perimeter%1:07:00::	perimeter%1:25:00::	head	False	1
d006.s009.t003	inclusion%1:17:00::	inclusion%1:04:00::	tail	False	4
d007.s026.t004	way%1:04:01::	way%1:07:01::	head	False	1
d007.s005.t007	game%1:04:03::	game%1:04:03::	tail	True	2
d013.s002.t010	usa%1:14:00::	usa%1:15:00::	head	False	1
d001.s011.t008	impact%1:19:00::	impact%1:19:00::	tail	True	2
d013.s015.t002	mortgage-backed_security%1:21:00::	mortgage-backed_security%1:21:00::	head	True	1
d007.s005.t001	way%1:07:01::	way%1:07:01::	head	True	1
d005.s011.t005	increase%1:11:00::	increase%1:07:00::	tail	False	4
d008.s024.t003	arsenic%1:27:00::	arsenic%1:27:00::	tail	True	2
d002.s010.t005	hand%1:08:00::	hand%1:08:00::	head	True	1
d008.s014.t012	science%1:09:00::	science%1:09:00::	head	True	1
d008.s010.t002	search%1:04:00::	search%1:04:00::	head	True	1
d006.s006.t003	filing%1:04:01::	filing%1:10:00::	head	False	1
d007.s005.t003	leader%1:18:00::	leader%1:18:00::	head	True	1
d012.s021.t006	economic_growth%1:22:00::	economic_growth%1:22:00::	head	True	1
d013.s005.t003	regulator%1:06:01::	regulator%1:18:00::	tail	False	2
d009.s003.t002	worry%1:12:00::	worry%1:09:00::	head	False	1
d004.s009.t002	door%1:06:00::	door%1:07:00::	tail	False	3
d003.s009.t001	confidence%1:12:00::	confidence%1:26:02::	tail	False	3
d001.s026.t004	day%1:28:00::	day%1:28:00::	head	True	1
d012.s006.t005	problem%1:10:00::	problem%1:26:00::	head	False	1
d004.s004.t002	stake%1:21:02::	stake%1:21:02::	head	True	1
d008.s027.t002	life%1:19:00::	life%1:19:00::	tail	True	10
d006.s008.t001	claim%1:10:02::	claim%1:10:02::	tail	True	2
d012.s021.t011	winner%1:18:02::	winner%1:18:00::	head	False	1
d001.s018.t003	planet%1:17:01::	planet%1:17:00::	head	False	1
d006.s022.t001	juror%1:18:00::	juror%1:18:00::	head	True	1
d012.s014.t003	employment%1:04:00::	employment%1:26:00::	head	False	1
d007.s013.t001	advantage%1:07:00::	advantage%1:07:01::	tail	False	3
d001.s004.t003	time%1:03:00::	time%1:28:05::	tail	False	2
d008.s006.t002	life%1:19:00::	life%1:19:00::	tail	True	10
d009.s029.t007	distinction%1:26:00::	distinction%1:26:00::	tail	True	2
d008.s011.t001	study%1:09:02::	study%1:09:02::	tail	True	6
d012.s001.t004	economy%1:14:00::	economy%1:14:00::	head	True	1
d007.s025.t003	law%1:10:00::	law%1:14:00::	head	False	1
d007.s020.t007	addition%1:04:01::	addition%1:21:00::	tail	False	4
d008.s024.t008	planet%1:17:01::	planet%1:17:01::_planet%1:17:00::	head	True	1
d001.s022.t003	draft%1:04:03::	draft%1:10:00::	tail	False	5
d013.s017.t002	number%1:07:00::	number%1:07:00::	head	True	1
d007.s014.t001	thing%1:04:00::	thing%1:07:00::	tail	False	9
d004.s007.t002	deal%1:04:01::	deal%1:04:02::	head	False	1
d006.s026.t004	camera%1:06:01::	camera%1:06:00::	head	False	1
d013.s022.t001	bank%1:17:00::	bank%1:14:00::	tail	False	2
d007.s009.t010	honor%1:26:00::	honor%1:07:00::	tail	False	3
d011.s003.t003	player%1:18:01::	player%1:18:01::	head	True	1
d012.s012.t003	burden%1:06:01::	burden%1:09:01::	head	False	1
d006.s028.t003	claim%1:10:02::	claim%1:10:02::	tail	True	2
d013.s021.t004	claim%1:10:02::	claim%1:10:00::_claim%1:04:00::	head	False	1
d005.s011.t001	thursday%1:28:00::	thursday%1:28:00::	head	True	1
d010.s020.t004	claim%1:10:02::	claim%1:10:02::	tail	True	2
d012.s022.t001	migrant%1:18:00::	migrant%1:18:00::	head	True	1
d008.s010.t001	find%1:09:00::	find%1:09:00::	head	True	1
d006.s018.t004	year%1:28:01::	year%1:28:01::	head	True	1
d012.s002.t006	police%1:14:00::	police%1:14:00::	head	True	1
d008.s020.t001	arsenic%1:27:00::	arsenic%1:27:00::	tail	True	2
d010.s018.t006	justice%1:18:00::	justice%1:18:00::	tail	True	3
d007.s019.t003	player%1:18:01::	player%1:18:01::	head	True	1
d006.s020.t003	victim%1:18:01::	victim%1:18:00::	head	False	1
d013.s020.t002	regulator%1:06:01::	regulator%1:18:00::	tail	False	2
d012.s013.t021	immigrant%1:18:00::	immigrant%1:18:00::	head	True	1
d003.s002.t001	new_york_stock_exchange%1:06:00::	new_york_stock_exchange%1:06:00::	head	True	1
d001.s026.t005	activist%1:18:00::	activist%1:18:00::	head	True	1
d006.s028.t005	report%1:10:00::	report%1:10:00::	tail	True	3
d013.s005.t004	string%1:10:00::	string%1:14:00::	tail	False	4
d006.s027.t001	focus%1:07:01::	focus%1:09:00::	head	False	1
d009.s015.t007	year%1:28:01::	year%1:28:01::	head	True	1
d012.s013.t019	country%1:15:00::	country%1:14:00::	head	False	1
d013.s023.t002	legal_action%1:04:00::	legal_action%1:04:00::	head	True	1
d007.s010.t011	regulation%1:09:00::	regulation%1:10:00::	head	False	1
d009.s019.t007	year%1:28:01::	year%1:28:01::	head	True	1
d002.s007.t002	end%1:28:00::	end%1:11:00::	tail	False	3
d001.s018.t001	battle%1:04:00::	battle%1:04:02::	tail	False	3
d002.s008.t001	quarter%1:15:00::	quarter%1:28:01::	tail	False	3
d012.s011.t001	program%1:09:01::	program%1:09:00::	head	False	1
d004.s018.t004	commitment%1:10:00::	commitment%1:04:02::	tail	False	3
d013.s011.t003	us%1:15:00::	us%1:15:00::	head	True	1
d007.s014.t011	referee%1:18:02::	referee%1:18:00::	head	False	1
d001.s009.t005	percent%1:24:00::	percent%1:24:00::	head	True	1
d006.s009.t002	danger%1:26:01::	danger%1:26:00::	head	False	1
d007.s027.t004	action%1:22:00::	action%1:04:02::	head	False	1
d010.s018.t007	court%1:14:01::	court%1:14:00::	head	False	1
d012.s002.t015	human_right%1:07:00::	human_right%1:07:00::	head	True	1
d003.s013.t003	yield%1:21:00::	yield%1:21:00::	tail	True	2
d007.s017.t001	situation%1:26:01::	situation%1:26:00::	head	False	1
d006.s013.t009	decision%1:09:00::	decision%1:09:00::	tail	True	2
d001.s015.t002	deal%1:04:02::	deal%1:10:00::	tail	False	2
d012.s022.t002	contributor%1:18:01::	contributor%1:18:00::	head	False	1
d005.s002.t002	bank%1:14:00::	bank%1:14:00::	tail	True	2
d002.s016.t002	team%1:14:00::	team%1:14:00::	head	True	1
d010.s005.t010	court%1:18:00::	court%1:14:00::	head	False	1
d011.s004.t004	country%1:15:00::	country%1:14:00::	head	False	1
d002.s002.t008	team%1:14:00::	team%1:14:00::	head	True	1
d007.s020.t004	indetermination%1:07:00::	indetermination%1:07:00::	head	True	1
d013.s003.t006	past%1:28:01::	past%1:28:01::	tail	True	2
d001.s019.t002	major_power%1:14:00::	major_power%1:14:00::	head	True	1
d013.s001.t005	usa%1:14:00::	usa%1:15:00::	head	False	1
d002.s016.t004	game%1:04:00::	game%1:04:03::	tail	False	2
d003.s007.t008	recovery%1:22:00::	recovery%1:11:00::	head	False	1
d005.s004.t001	report%1:10:01::	report%1:10:00::	tail	False	3
d013.s022.t002	us%1:15:00::	us%1:15:00::	head	True	1
d003.s006.t003	volume%1:23:00::	volume%1:07:03::	tail	False	2
d005.s011.t004	capital%1:15:00::	capital%1:21:01::	head	False	1
d010.s003.t005	petition%1:10:00::	petition%1:10:00::	head	True	1
d002.s005.t002	favor%1:09:00::	favor%1:07:00::	tail	False	2
d007.s010.t003	behavior%1:04:01::	behavior%1:04:00::	head	False	1
d002.s016.t001	spite%1:07:00::	spite%1:12:00::	head	False	1
d006.s030.t002	claim%1:10:02::	claim%1:10:02::	tail	True	2
d012.s013.t004	knowledge%1:03:00::	knowledge%1:03:00::	head	True	1
d008.s018.t003	astrobiology%1:09:00::	astrobiology%1:09:00::	head	True	1
d006.s029.t002	appeals_court%1:14:00::	appeals_court%1:14:00::	head	True	1
d003.s013.t008	bond%1:21:02::	bond%1:21:02::	tail	True	2
d012.s013.t012	specialist%1:18:01::	specialist%1:18:00::	head	False	1
d008.s008.t004	calif.%1:15:00::	calif.%1:15:00::	head	True	1
d012.s018.t001	effect%1:19:00::	effect%1:19:00::	head	True	1
d007.s026.t005	transmission%1:10:00::	transmission%1:04:01::	head	False	1
d007.s020.t010	sanction%1:04:01::	sanction%1:04:02::	tail	False	2
d009.s026.t006	year%1:28:01::	year%1:28:01::	head	True	1
d010.s025.t001	critic%1:18:01::	critic%1:18:02::	tail	False	3
d006.s011.t002	issue%1:09:01::	issue%1:09:01::	head	True	1
d006.s021.t003	death_penalty%1:04:00::	death_penalty%1:04:00::	head	True	1
d013.s013.t002	kind%1:09:00::	kind%1:09:00::	head	True	1
d002.s009.t001	team%1:14:00::	team%1:14:00::	head	True	1
d006.s020.t002	photograph%1:06:00::	photograph%1:06:00::	head	True	1
d009.s028.t003	leadership%1:14:00::	leadership%1:09:00::	tail	False	4
d005.s005.t002	restriction%1:04:00::	restriction%1:09:00::	head	False	1
d010.s021.t001	regard%1:09:02::	regard%1:09:01::	tail	False	2
d001.s013.t005	language%1:10:00::	language%1:10:03::	tail	False	6
d006.s009.t005	individual%1:18:00::	individual%1:03:00::	head	False	1
d006.s010.t009	jury%1:14:00::	jury%1:14:00::	head	True	1
d006.s019.t003	judge%1:18:00::	judge%1:18:00::	head	True	1
d009.s025.t003	private_enterprise%1:14:00::	private_enterprise%1:14:00::	head	True	1
d003.s007.t005	opinion%1:09:00::	opinion%1:09:00::	head	True	1
d006.s021.t008	verdict%1:04:00::	verdict%1:04:00::	head	True	1
d009.s004.t001	brazil%1:15:00::	brazil%1:15:00::	head	True	1
d011.s007.t007	league%1:23:00::	league%1:14:01::	head	False	1
d001.s015.t004	action%1:04:02::	action%1:04:04::	tail	False	9
d006.s026.t007	lawyer%1:18:00::	lawyer%1:18:00::	head	True	1
d012.s021.t004	creation%1:04:01::	creation%1:04:00::	head	False	1
d009.s013.t004	brazil%1:15:00::	brazil%1:15:00::	head	True	1
d012.s023.t007	age%1:28:00::	age%1:07:00::	head	False	1
d001.s006.t006	upper_limit%1:15:00::	upper_limit%1:23:00::	head	False	1
d012.s019.t008	arrival%1:04:01::	arrival%1:04:01::	tail	True	2
d001.s009.t001	outline%1:09:00::	outline%1:09:00::	tail	True	3
d008.s012.t006	internet%1:06:00::	internet%1:06:00::	head	True	1
d013.s017.t003	company%1:14:03::	company%1:14:01::	head	False	1
d012.s019.t009	immigrant%1:18:00::	immigrant%1:18:00::	head	True	1
d010.s016.t007	speaker%1:06:00::	speaker%1:18:00::	head	False	1
d007.s025.t006	case%1:04:00::	case%1:11:00::	head	False	1
d004.s019.t007	output%1:04:00::	output%1:04:00::	tail	True	2
d005.s005.t005	limit%1:23:00::	limit%1:23:00::	tail	True	6
d013.s018.t007	crisis%1:11:00::	crisis%1:26:00::	head	False	1
d004.s005.t003	friday%1:28:00::	friday%1:28:00::	head	True	1
d010.s008.t005	law%1:09:02::	law%1:10:00::	tail	False	2
d003.s003.t009	point%1:26:00::	point%1:26:00::	tail	True	5
d002.s002.t005	team%1:14:00::	team%1:14:00::	head	True	1
d009.s020.t001	mood%1:24:00::	mood%1:26:00::	tail	False	2
d007.s010.t010	sport%1:04:01::	sport%1:04:00::	head	False	1
d010.s004.t008	year%1:28:01::	year%1:28:01::	head	True	1
d010.s009.t005	outcome%1:19:00::	outcome%1:11:00::	head	False	1
d010.s018.t008	rule%1:10:00::	rule%1:10:00::	tail	True	3
d006.s005.t009	jury%1:14:00::	jury%1:14:00::	head	True	1
d001.s007.t004	washington%1:18:00::	washington%1:14:00::	tail	False	3
d012.s005.t003	left%1:15:00::	left%1:14:00::	tail	False	2
d009.s025.t004	market_economy%1:14:00::	market_economy%1:14:00::	head	True	1
d003.s010.t007	sector%1:06:00::	sector%1:14:00::	tail	False	2
d006.s021.t011	weekend%1:28:00::	weekend%1:28:00::	head	True	1
d007.s006.t002	discipline%1:09:01::	discipline%1:04:01::	tail	False	5
d009.s029.t002	country%1:15:00::	country%1:14:00::	head	False	1
d006.s010.t005	ruling%1:04:00::	ruling%1:04:00::	head	True	1
d009.s025.t008	private_enterprise%1:14:00::	private_enterprise%1:14:00::	head	True	1
d006.s010.t004	claim%1:10:02::	claim%1:10:02::	tail	True	2
d002.s007.t003	first_period%1:28:00::	first_period%1:28:00::	head	True	1
d007.s009.t012	act%1:10:00::	act%1:03:00::	tail	False	2
d004.s017.t004	spokesman%1:18:00::	spokesman%1:18:00::	head	True	1
d007.s025.t005	occasion%1:11:00::	occasion%1:11:00::	head	True	1
d009.s005.t004	country%1:15:00::	country%1:14:00::	head	False	1
d007.s020.t009	player%1:18:01::	player%1:18:01::	head	True	1
d013.s007.t001	issue%1:09:01::	issue%1:09:01::	head	True	1
d007.s008.t003	sport%1:18:00::	sport%1:04:00::	head	False	1
d003.s009.t003	december%1:28:00::	december%1:28:00::	head	True	1
d001.s027.t006	copenhagen%1:15:00::	copenhagen%1:15:00::	head	True	1
d007.s013.t006	advantage%1:07:00::	advantage%1:07:01::	tail	False	3
d007.s022.t006	rule%1:10:00::	rule%1:10:00::	tail	True	3
d006.s004.t008	bed%1:06:00::	bed%1:06:00::	head	True	1
d001.s005.t004	money%1:21:00::	money%1:21:00::	head	True	1
d013.s019.t004	year%1:28:01::	year%1:28:01::	head	True	1
d006.s010.t001	trial_judge%1:18:00::	trial_judge%1:18:00::	head	True	1
d006.s019.t006	photograph%1:06:00::	photograph%1:06:00::	head	True	1
d009.s009.t001	second%1:10:00::	second%1:24:00::	tail	False	5
d012.s017.t007	offer%1:10:00::	offer%1:10:00::	tail	True	2
d006.s016.t002	concern%1:12:00::	concern%1:12:01::	tail	False	2
d002.s016.t005	victory%1:11:00::	victory%1:11:00::	head	True	1
d011.s006.t004	panama%1:06:00::	panama%1:15:00::	head	False	1
d001.s003.t006	path%1:06:00::	path%1:04:00::	head	False	1
d003.s002.t004	market%1:06:00::	market%1:14:01::	tail	False	4
d010.s004.t002	issue%1:10:00::	issue%1:09:00::	tail	False	3
d011.s002.t002	spain%1:15:00::	spain%1:15:00::	head	True	1
d012.s019.t003	country%1:15:00::	country%1:14:00::	head	False	1
d004.s002.t003	instability%1:26:01::	instability%1:07:00::	tail	False	4
d004.s012.t004	disadvantage%1:07:00::	disadvantage%1:07:00::	head	True	1
d012.s019.t011	pay%1:21:01::	pay%1:21:01::	head	True	1
d009.s006.t004	region%1:15:01::	region%1:15:01::	tail	True	3
d005.s003.t004	bank%1:14:00::	bank%1:14:00::	tail	True	2
d002.s010.t002	halftime%1:28:00::	halftime%1:28:00::	head	True	1
d010.s020.t001	appearance%1:04:01::	appearance%1:04:00::	tail	False	5
d011.s003.t001	side%1:14:00::	side%1:14:00::	tail	True	2
d011.s023.t001	scorer%1:18:02::	scorer%1:18:00::	head	False	1
d011.s020.t001	side%1:15:02::	side%1:14:00::	tail	False	2
d007.s007.t001	provocation%1:10:00::	provocation%1:16:00::	tail	False	2
d013.s020.t004	claim%1:10:02::	claim%1:10:02::	tail	True	2
d001.s028.t003	policy%1:10:00::	policy%1:10:00::	tail	True	2
d006.s024.t001	challenge%1:10:00::	challenge%1:10:01::	tail	False	3
d004.s009.t003	year%1:28:01::	year%1:28:01::	head	True	1
d011.s019.t001	match%1:11:00::	match%1:11:00::	tail	True	2
d005.s005.t004	money%1:21:00::	money%1:21:00::	head	True	1
d006.s018.t003	lawyer%1:18:00::	lawyer%1:18:00::	head	True	1
d012.s013.t011	consensus%1:26:00::	consensus%1:26:00::	head	True	1
d006.s014.t003	television_show%1:10:00::	television_show%1:10:00::	head	True	1
d009.s009.t004	democracy%1:14:00::	democracy%1:14:00::	tail	True	2
d006.s029.t006	court%1:06:02::	court%1:14:00::	head	False	1
d007.s012.t009	game%1:05:00::	game%1:04:03::	tail	False	2
d003.s003.t004	point%1:23:00::	point%1:26:00::	tail	False	5
d003.s006.t006	year%1:28:01::	year%1:28:01::	head	True	1
d006.s017.t002	appeal%1:04:00::	appeal%1:04:00::	tail	True	3
d011.s007.t003	club%1:06:00::	club%1:14:00::	tail	False	2
d002.s011.t001	role%1:09:00::	role%1:04:00::	head	False	1
d013.s025.t004	claim%1:10:02::	claim%1:10:02::	tail	True	2
d002.s008.t009	lead%1:27:00::	lead%1:07:02::	head	False	1
d011.s009.t001	player%1:18:01::	player%1:18:01::	head	True	1
d008.s024.t007	earth%1:17:02::	earth%1:17:00::	head	False	1
d004.s003.t008	role%1:09:00::	role%1:04:00::	head	False	1
d009.s017.t001	world%1:17:00::	world%1:17:00::	tail	True	4
d006.s013.t012	atmosphere%1:15:00::	atmosphere%1:26:01::	head	False	1
d001.s002.t008	document%1:06:00::	document%1:10:00::	head	False	1
d013.s008.t001	bank%1:14:00::	bank%1:14:00::	tail	True	2
d009.s018.t001	addition%1:04:01::	addition%1:23:00::	tail	False	3
d004.s002.t002	violence%1:04:01::	violence%1:26:00::	tail	False	3
d002.s010.t007	game%1:04:03::	game%1:04:03::	tail	True	2
d006.s013.t002	united_states_supreme_court%1:14:00::	united_states_supreme_court%1:14:00::	head	True	1
d007.s003.t001	expulsion%1:04:02::	expulsion%1:04:01::	head	False	1
d010.s005.t006	outcome%1:19:00::	outcome%1:19:00::	tail	True	2
d006.s024.t009	candidate%1:18:00::	candidate%1:18:01::	head	False	1
d002.s005.t004	start%1:28:00::	start%1:11:00::	head	False	1
d001.s010.t003	percent%1:24:00::	percent%1:24:00::	head	True	1
d002.s003.t006	victory%1:11:00::	victory%1:11:00::	head	True	1
d011.s007.t008	cup%1:06:01::	cup%1:06:01::	tail	True	8
d007.s012.t003	spirit%1:18:00::	spirit%1:26:00::	tail	False	2
d002.s001.t002	israel%1:15:01::	israel%1:15:00::	head	False	1
d007.s010.t006	sport%1:18:00::	sport%1:04:00::	head	False	1
d010.s016.t006	judge%1:18:01::	judge%1:18:00::	head	False	1
d006.s013.t008	wife%1:18:00::	wife%1:18:00::	head	True	1
d012.s006.t002	tone%1:07:02::	tone%1:26:01::	tail	False	4
d004.s011.t001	concern%1:12:00::	concern%1:09:00::	head	False	1
d007.s016.t004	violator%1:18:01::	violator%1:18:01::	head	True	1
d009.s025.t002	support%1:04:00::	support%1:04:00::	tail	True	2
d013.s001.t004	fine%1:21:00::	fine%1:21:00::	head	True	1
d012.s017.t004	one%1:23:00::	one%1:09:00::	tail	False	2
d007.s010.t005	principle%1:09:00::	principle%1:10:00::	tail	False	5
d004.s010.t001	long_time%1:28:00::	long_time%1:28:00::	head	True	1
d006.s014.t002	inspiration%1:09:00::	inspiration%1:09:02::	head	False	1
d004.s011.t012	analyst%1:18:01::	analyst%1:18:00::	head	False	1
d007.s014.t006	violation%1:04:04::	violation%1:04:00::	head	False	1
d007.s017.t005	result%1:19:00::	result%1:19:00::	head	True	1
d006.s023.t003	coverage%1:10:00::	coverage%1:10:00::	tail	True	3
d009.s028.t001	brazil%1:15:00::	brazil%1:15:00::	head	True	1
d006.s026.t008	new_haven%1:15:00::	new_haven%1:15:00::	head	True	1
d012.s001.t001	immigration%1:14:00::	immigration%1:04:00::	head	False	1
d009.s015.t008	case%1:11:00::	case%1:11:00::	head	True	1
d001.s024.t002	urgency%1:26:01::	urgency%1:26:00::	head	False	1
d013.s002.t001	trouble%1:09:00::	trouble%1:09:00::	head	True	1
d006.s005.t004	family%1:14:00::	family%1:14:02::	head	False	1
d008.s024.t005	life_form%1:08:00::	life_form%1:08:00::	head	True	1
d002.s006.t001	basket%1:06:00::	basket%1:04:00::	tail	False	4
d006.s016.t005	trial%1:04:02::	trial%1:04:02::	tail	True	4
d003.s013.t006	tuesday%1:28:00::	tuesday%1:28:00::	head	True	1
d009.s023.t010	chart%1:10:00::	chart%1:10:00::	head	True	1
d010.s016.t010	event%1:03:00::	event%1:03:00::	head	True	1
d004.s012.t008	firm%1:14:00::	firm%1:14:00::	head	True	1
d001.s023.t012	china%1:15:01::	china%1:15:00::	head	False	1
d008.s001.t001	microbe%1:05:00::	microbe%1:05:00::	head	True	1
d001.s007.t002	flexibility%1:07:01::	flexibility%1:07:01::	tail	True	2
d003.s010.t003	dollar%1:21:01::	dollar%1:23:00::	head	False	1
d008.s006.t006	report%1:10:04::	report%1:10:03::	head	False	1
d012.s007.t002	degree%1:07:00::	degree%1:07:00::	head	True	1
d007.s023.t002	player%1:18:01::	player%1:18:01::	head	True	1
d010.s001.t002	law%1:10:00::	law%1:10:00::	tail	True	2
d010.s021.t003	business%1:04:01::	business%1:09:01::	tail	False	4
d009.s013.t001	half%1:23:00::	half%1:23:00::	head	True	1
d001.s014.t001	move%1:04:00::	move%1:04:03::	tail	False	3
d011.s004.t002	costa_rica%1:15:00::	costa_rica%1:15:00::	head	True	1
d001.s017.t004	fault_line%1:15:00::	fault_line%1:15:00::	head	True	1
d011.s003.t002	costa_rica%1:15:00::	costa_rica%1:15:00::	head	True	1
d001.s009.t006	level%1:07:00::	level%1:26:00::	tail	False	3
d001.s023.t013	india%1:15:00::	india%1:15:00::	head	True	1
d004.s006.t001	bid%1:10:00::	bid%1:10:00::	tail	True	3
d013.s003.t012	bankruptcy%1:04:00::	bankruptcy%1:26:00::	tail	False	2
d003.s007.t006	relation%1:03:00::	relation%1:03:00::	head	True	1
d001.s016.t011	china%1:15:01::	china%1:15:00::	head	False	1
d013.s017.t001	fate%1:11:00::	fate%1:11:00::	head	True	1
d001.s009.t009	percent%1:24:00::	percent%1:24:00::	head	True	1
d008.s014.t016	united_kingdom%1:15:00::	united_kingdom%1:15:00::	head	True	1
d009.s003.t003	unemployment%1:26:00::	unemployment%1:26:00::	head	True	1
d003.s013.t001	treasury%1:14:01::	treasury%1:14:01::	tail	True	5
d002.s010.t006	pressure%1:07:00::	pressure%1:07:00::	tail	True	2
d007.s026.t001	controversy%1:10:00::	controversy%1:10:00::	head	True	1
d008.s008.t006	phosphorus%1:17:00::	phosphorus%1:27:00::	head	False	1
d013.s019.t003	usa%1:14:00::	usa%1:15:00::	head	False	1
d006.s017.t004	idea%1:09:00::	idea%1:09:00::	head	True	1
d010.s018.t011	president%1:18:04::	president%1:18:01::	head	False	1
d012.s011.t003	banality%1:10:00::	banality%1:10:00::	head	True	1
d008.s020.t002	chemical%1:27:00::	chemical%1:27:00::	head	True	1
d007.s009.t013	dramatization%1:04:00::	dramatization%1:04:01::	head	False	1
d003.s013.t009	yield%1:21:00::	yield%1:21:00::	tail	True	2
d001.s008.t008	picture%1:26:00::	picture%1:26:00::	tail	True	4
d001.s024.t004	fact%1:09:01::	fact%1:09:01::	head	True	1
d012.s013.t003	book%1:10:03::	book%1:10:00::	head	False	1
d006.s010.t007	news_media%1:10:00::	news_media%1:10:00::	head	True	1
d004.s008.t002	oil%1:27:01::	oil%1:27:01::	tail	True	3
d006.s028.t004	news%1:10:01::	news%1:10:01::	tail	True	2
d010.s022.t001	wife%1:18:00::	wife%1:18:00::	head	True	1
d012.s002.t014	country%1:15:00::	country%1:14:00::	head	False	1
d012.s001.t003	opportunity%1:26:00::	opportunity%1:26:00::	head	True	1
